id,type,cx,cy,mass,shape,dl_fx,dl_fy,dl_mz,ll_fx,ll_fy,ll_mz
1,beam,49.5000000,9.5000000,2000.0000000,element_1.json,0,2000.0000000,0,2000.0000000,0,0
2,ground,49.5000000,30.5000000,2000.0000000,element_2.json,0,2000.0000000,0,2000.0000000,0,0
3,mortar,0.5000000,20.3333333,0.2500000,element_3.json,0,0.2500000,0,0.2500000,0,0
4,mortar,0.1666667,20.0000000,0.2500000,element_4.json,0,0.2500000,0,0.2500000,0,0
5,mortar,1.5000000,20.3333333,0.2500000,element_5.json,0,0.2500000,0,0.2500000,0,0
6,mortar,1.1666667,20.0000000,0.2500000,element_6.json,0,0.2500000,0,0.2500000,0,0
7,mortar,0.8333333,20.0000000,0.2500000,element_7.json,0,0.2500000,0,0.2500000,0,0
8,mortar,2.5000000,20.3333333,0.2500000,element_8.json,0,0.2500000,0,0.2500000,0,0
9,mortar,1.8333333,20.0000000,0.2500000,element_9.json,0,0.2500000,0,0.2500000,0,0
10,mortar,2.1666667,20.0000000,0.2500000,element_10.json,0,0.2500000,0,0.2500000,0,0
11,mortar,3.5000000,20.3333333,0.2500000,element_11.json,0,0.2500000,0,0.2500000,0,0
12,mortar,2.8333333,20.0000000,0.2500000,element_12.json,0,0.2500000,0,0.2500000,0,0
13,mortar,3.1666667,20.0000000,0.2500000,element_13.json,0,0.2500000,0,0.2500000,0,0
14,mortar,4.5000000,20.3333333,0.2500000,element_14.json,0,0.2500000,0,0.2500000,0,0
15,mortar,3.8333333,20.0000000,0.2500000,element_15.json,0,0.2500000,0,0.2500000,0,0
16,mortar,4.1666667,20.0000000,0.2500000,element_16.json,0,0.2500000,0,0.2500000,0,0
17,mortar,5.5000000,20.3333333,0.2500000,element_17.json,0,0.2500000,0,0.2500000,0,0
18,mortar,4.8333333,20.0000000,0.2500000,element_18.json,0,0.2500000,0,0.2500000,0,0
