id,coor,cand,anta,tangent1,normal,cont_type,section_h,lever,faceID,counterPoint,normal_force,tangent_force,mu,cohesion,ft,fc,crack_state,sliding_failure,strength_failure,opening_failure,crushing_failure,displacement,gap
1,"[0.0070710678118654745, 20.492928932188136]",3,4,"[0.7071067811865475, -0.7071067811865475]","[0.7071067811865476, 0.7071067811865476]",<Kinematics.entity.conttype.ContType object at 0x7fa5dae3daf0>,0.6871067811865476,0.3435533905932738,10,10,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
10,"[0.0070710678118654745, 20.492928932188136]",4,3,"[0.7071067811865475, -0.7071067811865475]","[-0.7071067811865476, -0.7071067811865476]",<Kinematics.entity.conttype.ContType object at 0x7fa5dae3dbe0>,0.6871067811865476,0.3435533905932738,11,1,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
2,"[0.01, 20.5]",3,2,"[1.0, 0.0]","[0.0, -1.0]",<Kinematics.entity.conttype.ContType object at 0x7fa5dae3daf0>,0.98,0.49,4,2401,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
2401,"[0.01, 20.5]",2,3,"[-1.0, 0.0]","[0.0, 1.0]",<Kinematics.entity.conttype.ContType object at 0x7fa5da98c6a0>,0.98,0.49,5,2,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
3,"[0.99, 20.5]",3,2,"[-1.0, 0.0]","[-0.0, -1.0]",<Kinematics.entity.conttype.ContType object at 0x7fa5dae3deb0>,0.98,0.49,4,2402,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
2402,"[0.99, 20.5]",2,3,"[-1.0, 0.0]","[0.0, 1.0]",<Kinematics.entity.conttype.ContType object at 0x7fa5da98c6a0>,0.98,0.49,5,3,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
4,"[0.9929289321881345, 20.492928932188136]",3,7,"[-0.7071067811865475, -0.7071067811865475]","[-0.7071067811865476, 0.7071067811865476]",<Kinematics.entity.conttype.ContType object at 0x7fa5dae3deb0>,0.6871067811865476,0.3435533905932738,8,25,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
25,"[0.9929289321881345, 20.492928932188136]",7,3,"[-0.7071067811865475, -0.7071067811865475]","[0.7071067811865476, -0.7071067811865476]",<Kinematics.entity.conttype.ContType object at 0x7fa5dae5ea30>,0.6871067811865476,0.3435533905932738,9,4,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
5,"[0.5070710678118655, 20.007071067811864]",3,7,"[0.7071067811865475, 0.7071067811865475]","[-0.7071067811865476, 0.7071067811865476]",<Kinematics.entity.conttype.ContType object at 0x7fa5dae3dca0>,0.6871067811865476,0.3435533905932738,8,30,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
30,"[0.5070710678118655, 20.007071067811864]",7,3,"[0.7071067811865475, 0.7071067811865475]","[0.7071067811865476, -0.7071067811865476]",<Kinematics.entity.conttype.ContType object at 0x7fa5dae5eac0>,0.6871067811865476,0.3435533905932738,9,5,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
