id,x,y,nx,ny,t1x,t1y,candidate_id,antagonist_id,section_height,lever,face_id,counter_point,contact_type,mu,fc,ft,cohesion
1,0.0070711,20.4929289,0.7071068,0.7071068,0.7071068,-0.7071068,3,4,0.6871068,0.3435534,10,10,friction,0.7000000,0,0,0
10,0.0070711,20.4929289,-0.7071068,-0.7071068,0.7071068,-0.7071068,4,3,0.6871068,0.3435534,11,1,friction,0.7000000,0,0,0
2,0.0100000,20.5000000,0.0000000,-1.0000000,1.0000000,0.0000000,3,2,0.9800000,0.4900000,4,2401,friction,0.7000000,0,0,0
2401,0.0100000,20.5000000,0.0000000,1.0000000,-1.0000000,0.0000000,2,3,0.9800000,0.4900000,5,2,friction,0.7000000,0,0,0
3,0.9900000,20.5000000,-0.0000000,-1.0000000,-1.0000000,0.0000000,3,2,0.9800000,0.4900000,4,2402,friction,0.7000000,0,0,0
2402,0.9900000,20.5000000,0.0000000,1.0000000,-1.0000000,0.0000000,2,3,0.9800000,0.4900000,5,3,friction,0.7000000,0,0,0
4,0.9929289,20.4929289,-0.7071068,0.7071068,-0.7071068,-0.7071068,3,7,0.6871068,0.3435534,8,25,friction,0.7000000,0,0,0
25,0.9929289,20.4929289,0.7071068,-0.7071068,-0.7071068,-0.7071068,7,3,0.6871068,0.3435534,9,4,friction,0.7000000,0,0,0
5,0.5070711,20.0070711,-0.7071068,0.7071068,0.7071068,0.7071068,3,7,0.6871068,0.3435534,8,30,friction,0.7000000,0,0,0
30,0.5070711,20.0070711,0.7071068,-0.7071068,0.7071068,0.7071068,7,3,0.6871068,0.3435534,9,5,friction,0.7000000,0,0,0
6,0.4929289,20.0070711,0.7071068,0.7071068,-0.7071068,0.7071068,3,4,0.6871068,0.3435534,10,11,friction,0.7000000,0,0,0
11,0.4929289,20.0070711,-0.7071068,-0.7071068,-0.7071068,0.7071068,4,3,0.6871068,0.3435534,11,6,friction,0.7000000,0,0,0
7,0.0070711,19.5070711,-0.7071068,0.7071068,0.7071068,0.7071068,4,402,0.6871068,0.3435534,14,2398,friction,0.7000000,0,0,0
2398,0.0070711,19.5070711,0.7071068,-0.7071068,0.7071068,0.7071068,402,4,0.6871068,0.3435534,15,7,friction,0.7000000,0,0,0
12,0.4929289,19.9929289,-0.7071068,0.7071068,-0.7071068,-0.7071068,4,402,0.6871068,0.3435534,14,2399,friction,0.7000000,0,0,0
2399,0.4929289,19.9929289,0.7071068,-0.7071068,-0.7071068,-0.7071068,402,4,0.6871068,0.3435534,15,12,friction,0.7000000,0,0,0
13,1.0070711,20.4929289,0.7071068,0.7071068,0.7071068,-0.7071068,5,6,0.6871068,0.3435534,26,22,friction,0.7000000,0,0,0
22,1.0070711,20.4929289,-0.7071068,-0.7071068,0.7071068,-0.7071068,6,5,0.6871068,0.3435534,27,13,friction,0.7000000,0,0,0
14,1.0100000,20.5000000,0.0000000,-1.0000000,1.0000000,0.0000000,5,2,0.9800000,0.4900000,20,2403,friction,0.7000000,0,0,0
2403,1.0100000,20.5000000,0.0000000,1.0000000,-1.0000000,0.0000000,2,5,0.9800000,0.4900000,21,14,friction,0.7000000,0,0,0
15,1.9900000,20.5000000,-0.0000000,-1.0000000,-1.0000000,0.0000000,5,2,0.9800000,0.4900000,20,2404,friction,0.7000000,0,0,0
2404,1.9900000,20.5000000,0.0000000,1.0000000,-1.0000000,0.0000000,2,5,0.9800000,0.4900000,21,15,friction,0.7000000,0,0,0
16,1.9929289,20.4929289,-0.7071068,0.7071068,-0.7071068,-0.7071068,5,9,0.6871068,0.3435534,24,37,friction,0.7000000,0,0,0
37,1.9929289,20.4929289,0.7071068,-0.7071068,-0.7071068,-0.7071068,9,5,0.6871068,0.3435534,25,16,friction,0.7000000,0,0,0
17,1.5070711,20.0070711,-0.7071068,0.7071068,0.7071068,0.7071068,5,9,0.6871068,0.3435534,24,42,friction,0.7000000,0,0,0
42,1.5070711,20.0070711,0.7071068,-0.7071068,0.7071068,0.7071068,9,5,0.6871068,0.3435534,25,17,friction,0.7000000,0,0,0
