id,center,mass,dl,ll,type,displacement,shape_file,contps
1,"[0.05100520650370741, 0.01990701968999438]",0.00028000000000000003,"[0, 0.7504000000000001, 0]","[10000.0, 0, 0]",beam,"[0.0001, 2.598036410758553e-07, -7.165434996294032e-06]",element_1.json,[]
2,"[0.0495, 0.0305]",0.00028000000000000003,"[0, 0.007141680000000001, 0]","[0, 0, 0]",ground,"[0.0, 0.0, 0.0]",element_2.json,[]
3,"[0.0006404987067964243, 0.02032316956033901]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.73821367800841e-05, -6.535686884349268e-06, 5.9916602622777336e-05]",element_3.json,[]
4,"[0.00030928134913390246, 0.01998994602958458]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.736217115820733e-05, -6.515841465548436e-06, 5.991660262277777e-05]",element_4.json,[]
5,"[0.0016392273182562103, 0.020323589857117734]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.726761190382243e-05, -6.530301026934623e-06, -3.0786419650139266e-06]",element_5.json,[]
6,"[0.001308360366687709, 0.01999102095217137]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.726863576440946e-05, -6.531319647816559e-06, -3.0786419650127734e-06]",element_6.json,[]
7,"[0.0009749303277096719, 0.01999116787229628]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.7366062489927295e-05, -6.5420922209851575e-06, -6.192397333702103e-05]",element_7.json,[]
8,"[0.0026376935931125872, 0.020323711422936704]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.7212016853029044e-05, -6.581859208838829e-06, -1.7319052608155026e-17]",element_8.json,[]
9,"[0.001973495479612098, 0.019991138639577036]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.7212021838128627e-05, -6.581859208838843e-06, -1.6027302835555887e-17]",element_9.json,[]
10,"[0.0023068278922017136, 0.019990964430191466]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.721201685302905e-05, -6.581859208838835e-06, -1.7656972901626173e-17]",element_10.json,[]
11,"[0.003637922833601382, 0.020323839399387596]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.6116345005636313e-05, -5.671617502608737e-06, 0.00010310374914376396]",element_11.json,[]
12,"[0.002972041833641147, 0.019991480397501628]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.718229651614049e-05, -6.532207222133799e-06, 5.1819886873740035e-05]",element_12.json,[]
13,"[0.0033071035545788117, 0.019990944825536257]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.6089123733603378e-05, -5.872729271489241e-06, 5.181988687373975e-05]",element_13.json,[]
14,"[0.0046368156467675396, 0.020323872736154512]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.6038961495771667e-05, -5.769544051303522e-06, -7.929548824218493e-05]",element_14.json,[]
