id,coor,cand,anta,tangent1,normal,cont_type,section_h,lever,faceID,counterPoint,normal_force,tangent_force,mu,cohesion,ft,fc,crack_state,sliding_failure,strength_failure,opening_failure,crushing_failure,displacement,gap
1,"[0.00021661931463444917, 0.02048606567178595]",3,4,"[0.7071068, -0.7071068]","[0.7071068, 0.7071068]",<Kinematics.entity.conttype.ContType object at 0x7fd7da137fd0>,0.0006871068,0.0003435534,10,10,0.011489700463243815,-0.017293477695449186,0.94,0.006493159260000001,37.800000000000004,14000,False,False,False,False,False,"[-3.4603926027778134e-08, 5.7128533703168505e-06]","[0, 0]"
10,"[0.000217507243184743, 0.020485179421117834]",4,3,"[0.7071068, -0.7071068]","[-0.7071068, -0.7071068]",<Kinematics.entity.conttype.ContType object at 0x7fd8349a2a00>,0.0006871068,0.0003435534,11,1,-0.006907616234042554,8.673617379884035e-19,0.94,0.006493159260000001,37.800000000000004,14000,False,False,False,False,False,"[-3.803275510630075e-08, 5.709411195885944e-06]","[0, 0]"
2,"[0.00021952482359893977, 0.020493146415255202]",3,2,"[1.0, 0.0]","[0.0, -1.0]",<Kinematics.entity.conttype.ContType object at 0x7fd8349a2c40>,0.00098,0.00049,4,2401,-0.00985212765957447,0.0,0.94,0.009261000000000002,14000,14000,False,False,False,False,False,"[-1.6180306041237245e-08, 5.705265396425269e-06]","[0, 6.85358474479883e-06]"
2401,"[1.0000000000003062e-05, 0.0205]",2,3,"[-1.0, 0.0]","[0.0, 1.0]",<Kinematics.entity.conttype.ContType object at 0x7fd8349a2ca0>,0.00098,0.00049,5,2,-0.0039035126152672447,-0.005359318861647923,0.94,0.009261000000000002,37.800000000000004,14000,False,False,False,False,False,"[0.0, 0.0]","[0, 6.85358474479883e-06]"
3,"[0.0011995194689901224, 0.020496386014707275]",3,2,"[-1.0, 0.0]","[-0.0, -1.0]",<Kinematics.entity.conttype.ContType object at 0x7fd8349a2d60>,0.00098,0.00049,4,2402,-0.00985212765957447,0.0,0.94,0.009261000000000002,14000,14000,False,False,False,False,False,"[-1.1067441841238965e-08, 3.1540113455755248e-06]","[0, 3.6139852927254135e-06]"
2402,"[0.0009899999999999978, 0.0205]",2,3,"[-1.0, 0.0]","[0.0, 1.0]",<Kinematics.entity.conttype.ContType object at 0x7fd8349a2e20>,0.00098,0.00049,5,3,0.024694645735682464,-0.03247396699154152,0.94,0.009261000000000002,37.800000000000004,14000,False,False,False,False,False,"[0.0, 0.0]","[0, 3.6139852927254135e-06]"
4,"[0.0012024717280192778, 0.020489324635447885]",3,7,"[-0.7071068, -0.7071068]","[-0.7071068, 0.7071068]",<Kinematics.entity.conttype.ContType object at 0x7fd8349a2ee0>,0.0006871068,0.0003435534,8,25,-0.006907616234042554,8.673617379884035e-19,0.94,0.006493159260000001,37.800000000000004,14000,False,False,False,False,False,"[-2.94605004649319e-08, 3.1463495888776893e-06]","[0, 0]"
25,"[0.0012018054766493999, 0.020491627421628442]",7,3,"[-0.7071068, -0.7071068]","[0.7071068, -0.7071068]",<Kinematics.entity.conttype.ContType object at 0x7fd8349a2fa0>,0.0006871068,0.0003435534,9,4,-0.0015322754963683276,0.005052820293413773,0.94,0.006493159260000001,37.800000000000004,14000,False,False,False,False,False,"[3.111236361645186e-06, 3.257207495478698e-06]","[0, 0]"
5,"[0.0007182226894898113, 0.020001863383321158]",3,7,"[0.7071068, 0.7071068]","[-0.7071068, 0.7071068]",<Kinematics.entity.conttype.ContType object at 0x7fd834c700a0>,0.0006871068,0.0003435534,8,30,-0.006907616234042554,8.673617379884035e-19,0.94,0.006493159260000001,37.800000000000004,14000,False,False,False,False,False,"[-1.2968388732599416e-06, 4.408658318914155e-06]","[0, 2.5916688323773232e-06]"
30,"[0.0007208958329512636, 0.0200008713536682]",7,3,"[0.7071068, 0.7071068]","[0.7071068, -0.7071068]",<Kinematics.entity.conttype.ContType object at 0x7fd834c70160>,0.0006871068,0.0003435534,9,5,-0.005429212744587575,-0.0013896992800876795,0.94,0.006493159260000001,37.800000000000004,14000,False,False,False,False,False,"[1.3754756144311597e-07, 6.188999540749501e-06]","[0, 2.5916688323773232e-06]"
