id,type,cx,cy,mass,shape,dl_fx,dl_fy,dl_mz,ll_fx,ll_fy,ll_mz
1,beam,49.4540230,8.2528736,1740.0000000,element_1.json,0,1740.0000000,0,1740.0000000,0,0
2,ground,49.5388350,30.1553398,2060.0000000,element_2.json,0,2060.0000000,0,2060.0000000,0,0
3,mortar,90.5794343,21.2489461,0.3765808,element_3.json,0,0.3765808,0,0.3765808,0,0
4,mortar,30.5794343,21.2489461,0.3765808,element_4.json,0,0.3765808,0,0.3765808,0,0
5,mortar,10.5794343,21.2489461,0.3765808,element_5.json,0,0.3765808,0,0.3765808,0,0
6,mortar,20.5794343,21.2489461,0.3765808,element_6.json,0,0.3765808,0,0.3765808,0,0
7,mortar,50.5794343,21.2489461,0.3765808,element_7.json,0,0.3765808,0,0.3765808,0,0
8,mortar,40.5794343,21.2489461,0.3765808,element_8.json,0,0.3765808,0,0.3765808,0,0
9,mortar,59.4205657,21.2489461,0.3765808,element_9.json,0,0.3765808,0,0.3765808,0,0
10,mortar,80.5794343,21.2489461,0.3765808,element_10.json,0,0.3765808,0,0.3765808,0,0
11,mortar,70.5794343,21.2489461,0.3765808,element_11.json,0,0.3765808,0,0.3765808,0,0
12,mortar,90.2466131,20.8712725,0.4176775,element_12.json,0,0.4176775,0,0.4176775,0,0
13,mortar,80.2466131,20.8712725,0.4176775,element_13.json,0,0.4176775,0,0.4176775,0,0
14,mortar,10.2466131,20.8712725,0.4176775,element_14.json,0,0.4176775,0,0.4176775,0,0
15,mortar,20.2466131,20.8712725,0.4176775,element_15.json,0,0.4176775,0,0.4176775,0,0
16,mortar,50.2466131,20.8712725,0.4176775,element_16.json,0,0.4176775,0,0.4176775,0,0
17,mortar,30.2466131,20.8712725,0.4176775,element_17.json,0,0.4176775,0,0.4176775,0,0
18,mortar,40.2466131,20.8712725,0.4176775,element_18.json,0,0.4176775,0,0.4176775,0,0
19,mortar,59.7533869,20.8712725,0.4176775,element_19.json,0,0.4176775,0,0.4176775,0,0
20,mortar,70.2466131,20.8712725,0.4176775,element_20.json,0,0.4176775,0,0.4176775,0,0
21,mortar,90.7295139,19.3529007,0.1666491,element_21.json,0,0.1666491,0,0.1666491,0,0
22,mortar,80.7295139,19.3529007,0.1666491,element_22.json,0,0.1666491,0,0.1666491,0,0
23,mortar,50.7295139,19.3529007,0.1666491,element_23.json,0,0.1666491,0,0.1666491,0,0
24,mortar,30.7295139,19.3529007,0.1666491,element_24.json,0,0.1666491,0,0.1666491,0,0
25,mortar,20.7295139,19.3529007,0.1666491,element_25.json,0,0.1666491,0,0.1666491,0,0
26,mortar,40.7295139,19.3529007,0.1666491,element_26.json,0,0.1666491,0,0.1666491,0,0
27,mortar,10.7295139,19.3529007,0.1666491,element_27.json,0,0.1666491,0,0.1666491,0,0
28,mortar,59.2704861,19.3529007,0.1666491,element_28.json,0,0.1666491,0,0.1666491,0,0
29,mortar,70.7295139,19.3529007,0.1666491,element_29.json,0,0.1666491,0,0.1666491,0,0
30,mortar,69.6914339,19.8501887,0.3876191,element_30.json,0,0.3876191,0,0.3876191,0,0
31,mortar,60.3085661,19.8501887,0.3876191,element_31.json,0,0.3876191,0,0.3876191,0,0
32,mortar,39.6914339,19.8501887,0.3876191,element_32.json,0,0.3876191,0,0.3876191,0,0
33,mortar,49.6914339,19.8501887,0.3876191,element_33.json,0,0.3876191,0,0.3876191,0,0
34,mortar,29.6914339,19.8501887,0.3876191,element_34.json,0,0.3876191,0,0.3876191,0,0
35,mortar,9.6914339,19.8501887,0.3876191,element_35.json,0,0.3876191,0,0.3876191,0,0
36,mortar,19.6914339,19.8501887,0.3876191,element_36.json,0,0.3876191,0,0.3876191,0,0
37,mortar,79.6914339,19.8501887,0.3876191,element_37.json,0,0.3876191,0,0.3876191,0,0
38,mortar,89.6914339,19.8501887,0.3876191,element_38.json,0,0.3876191,0,0.3876191,0,0
39,mortar,81.8315041,19.9575528,0.2718825,element_39.json,0,0.2718825,0,0.2718825,0,0
40,mortar,91.8315041,19.9575528,0.2718825,element_40.json,0,0.2718825,0,0.2718825,0,0
41,mortar,51.8315041,19.9575528,0.2718825,element_41.json,0,0.2718825,0,0.2718825,0,0
42,mortar,58.1684959,19.9575528,0.2718825,element_42.json,0,0.2718825,0,0.2718825,0,0
43,mortar,41.8315041,19.9575528,0.2718825,element_43.json,0,0.2718825,0,0.2718825,0,0
44,mortar,31.8315041,19.9575528,0.2718825,element_44.json,0,0.2718825,0,0.2718825,0,0
45,mortar,21.8315041,19.9575528,0.2718825,element_45.json,0,0.2718825,0,0.2718825,0,0
46,mortar,11.8315041,19.9575528,0.2718825,element_46.json,0,0.2718825,0,0.2718825,0,0
47,mortar,71.8315041,19.9575528,0.2718825,element_47.json,0,0.2718825,0,0.2718825,0,0
48,mortar,29.4170084,21.2452178,0.3821732,element_48.json,0,0.3821732,0,0.3821732,0,0
49,mortar,9.4170084,21.2452178,0.3821732,element_49.json,0,0.3821732,0,0.3821732,0,0
50,mortar,19.4170084,21.2452178,0.3821732,element_50.json,0,0.3821732,0,0.3821732,0,0
51,mortar,39.4170084,21.2452178,0.3821732,element_51.json,0,0.3821732,0,0.3821732,0,0
52,mortar,60.5829916,21.2452178,0.3821732,element_52.json,0,0.3821732,0,0.3821732,0,0
53,mortar,49.4170084,21.2452178,0.3821732,element_53.json,0,0.3821732,0,0.3821732,0,0
54,mortar,69.4170084,21.2452178,0.3821732,element_54.json,0,0.3821732,0,0.3821732,0,0
55,mortar,79.4170084,21.2452178,0.3821732,element_55.json,0,0.3821732,0,0.3821732,0,0
56,mortar,89.4170084,21.2452178,0.3821732,element_56.json,0,0.3821732,0,0.3821732,0,0
57,mortar,89.7508540,20.8675442,0.4248893,element_57.json,0,0.4248893,0,0.4248893,0,0
58,mortar,79.7508540,20.8675442,0.4248893,element_58.json,0,0.4248893,0,0.4248893,0,0
59,mortar,9.7508540,20.8675442,0.4248893,element_59.json,0,0.4248893,0,0.4248893,0,0
60,mortar,19.7508540,20.8675442,0.4248893,element_60.json,0,0.4248893,0,0.4248893,0,0
61,mortar,49.7508540,20.8675442,0.4248893,element_61.json,0,0.4248893,0,0.4248893,0,0
62,mortar,29.7508540,20.8675442,0.4248893,element_62.json,0,0.4248893,0,0.4248893,0,0
63,mortar,39.7508540,20.8675442,0.4248893,element_63.json,0,0.4248893,0,0.4248893,0,0
64,mortar,60.2491460,20.8675442,0.4248893,element_64.json,0,0.4248893,0,0.4248893,0,0
65,mortar,69.7508540,20.8675442,0.4248893,element_65.json,0,0.4248893,0,0.4248893,0,0
66,mortar,0.5833333,21.2500000,0.3750000,element_66.json,0,0.3750000,0,0.3750000,0,0
67,mortar,99.4166667,21.2500000,0.3750000,element_67.json,0,0.3750000,0,0.3750000,0,0
68,mortar,70.1991685,19.8469955,0.3762339,element_68.json,0,0.3762339,0,0.3762339,0,0
69,mortar,59.8008315,19.8469955,0.3762339,element_69.json,0,0.3762339,0,0.3762339,0,0
70,mortar,40.1991685,19.8469955,0.3762339,element_70.json,0,0.3762339,0,0.3762339,0,0
71,mortar,30.1991685,19.8469955,0.3762339,element_71.json,0,0.3762339,0,0.3762339,0,0
72,mortar,50.1991685,19.8469955,0.3762339,element_72.json,0,0.3762339,0,0.3762339,0,0
73,mortar,10.1991685,19.8469955,0.3762339,element_73.json,0,0.3762339,0,0.3762339,0,0
74,mortar,20.1991685,19.8469955,0.3762339,element_74.json,0,0.3762339,0,0.3762339,0,0
75,mortar,80.1991685,19.8469955,0.3762339,element_75.json,0,0.3762339,0,0.3762339,0,0
76,mortar,90.1991685,19.8469955,0.3762339,element_76.json,0,0.3762339,0,0.3762339,0,0
77,mortar,90.3690174,19.3961308,0.2752030,element_77.json,0,0.2752030,0,0.2752030,0,0
78,mortar,80.3690174,19.3961308,0.2752030,element_78.json,0,0.2752030,0,0.2752030,0,0
79,mortar,50.3690174,19.3961308,0.2752030,element_79.json,0,0.2752030,0,0.2752030,0,0
80,mortar,30.3690174,19.3961308,0.2752030,element_80.json,0,0.2752030,0,0.2752030,0,0
81,mortar,40.3690174,19.3961308,0.2752030,element_81.json,0,0.2752030,0,0.2752030,0,0
82,mortar,20.3690174,19.3961308,0.2752030,element_82.json,0,0.2752030,0,0.2752030,0,0
83,mortar,70.3690174,19.3961308,0.2752030,element_83.json,0,0.2752030,0,0.2752030,0,0
84,mortar,10.3690174,19.3961308,0.2752030,element_84.json,0,0.2752030,0,0.2752030,0,0
85,mortar,59.6309826,19.3961308,0.2752030,element_85.json,0,0.2752030,0,0.2752030,0,0
86,mortar,81.1394920,19.9872191,0.2206289,element_86.json,0,0.2206289,0,0.2206289,0,0
87,mortar,71.1394920,19.9872191,0.2206289,element_87.json,0,0.2206289,0,0.2206289,0,0
88,mortar,51.1394920,19.9872191,0.2206289,element_88.json,0,0.2206289,0,0.2206289,0,0
89,mortar,58.8605080,19.9872191,0.2206289,element_89.json,0,0.2206289,0,0.2206289,0,0
90,mortar,41.1394920,19.9872191,0.2206289,element_90.json,0,0.2206289,0,0.2206289,0,0
91,mortar,31.1394920,19.9872191,0.2206289,element_91.json,0,0.2206289,0,0.2206289,0,0
92,mortar,21.1394920,19.9872191,0.2206289,element_92.json,0,0.2206289,0,0.2206289,0,0
93,mortar,11.1394920,19.9872191,0.2206289,element_93.json,0,0.2206289,0,0.2206289,0,0
94,mortar,91.1394920,19.9872191,0.2206289,element_94.json,0,0.2206289,0,0.2206289,0,0
95,mortar,82.1844499,20.0320090,0.2126558,element_95.json,0,0.2126558,0,0.2126558,0,0
96,mortar,57.8155501,20.0320090,0.2126558,element_96.json,0,0.2126558,0,0.2126558,0,0
97,mortar,52.1844499,20.0320090,0.2126558,element_97.json,0,0.2126558,0,0.2126558,0,0
98,mortar,42.1844499,20.0320090,0.2126558,element_98.json,0,0.2126558,0,0.2126558,0,0
99,mortar,32.1844499,20.0320090,0.2126558,element_99.json,0,0.2126558,0,0.2126558,0,0
100,mortar,22.1844499,20.0320090,0.2126558,element_100.json,0,0.2126558,0,0.2126558,0,0
101,mortar,12.1844499,20.0320090,0.2126558,element_101.json,0,0.2126558,0,0.2126558,0,0
102,mortar,72.1844499,20.0320090,0.2126558,element_102.json,0,0.2126558,0,0.2126558,0,0
103,mortar,92.1844499,20.0320090,0.2126558,element_103.json,0,0.2126558,0,0.2126558,0,0
104,mortar,2.3274021,18.6356410,0.2580806,element_104.json,0,0.2580806,0,0.2580806,0,0
105,mortar,2.6524751,18.3153469,0.2727105,element_105.json,0,0.2727105,0,0.2727105,0,0
106,mortar,3.3229167,17.6562500,0.2656250,element_106.json,0,0.2656250,0,0.2656250,0,0
107,mortar,3.6497790,17.3287563,0.2558150,element_107.json,0,0.2558150,0,0.2558150,0,0
108,mortar,6.3525884,17.3255997,0.2564438,element_108.json,0,0.2564438,0,0.2564438,0,0
109,mortar,6.6770833,17.6562500,0.2656250,element_109.json,0,0.2656250,0,0.2656250,0,0
110,mortar,7.3437500,18.3229167,0.2656250,element_110.json,0,0.2656250,0,0.2656250,0,0
111,mortar,7.6770833,18.6562500,0.2656250,element_111.json,0,0.2656250,0,0.2656250,0,0
112,mortar,12.3712484,18.6273690,0.2415155,element_112.json,0,0.2415155,0,0.2415155,0,0
113,mortar,12.6695675,18.3161645,0.2727465,element_113.json,0,0.2727465,0,0.2727465,0,0
114,mortar,13.3229167,17.6562500,0.2656250,element_114.json,0,0.2656250,0,0.2656250,0,0
115,mortar,13.6497790,17.3287563,0.2558150,element_115.json,0,0.2558150,0,0.2558150,0,0
116,mortar,16.3525884,17.3255997,0.2564438,element_116.json,0,0.2564438,0,0.2564438,0,0
117,mortar,16.6770833,17.6562500,0.2656250,element_117.json,0,0.2656250,0,0.2656250,0,0
118,mortar,17.3437500,18.3229167,0.2656250,element_118.json,0,0.2656250,0,0.2656250,0,0
