id,coor,cand,anta,tangent1,normal,cont_type,section_h,lever,faceID,counterPoint,normal_force,tangent_force,mu,cohesion,ft,fc,crack_state,sliding_failure,strength_failure,opening_failure,crushing_failure,displacement,gap
1,"[90.00700027408202, 21.492858840235876]",3,12,"[0.7000274082011013, -0.7141159764122693]","[0.7141159764122693, 0.7000274082011013]",<Kinematics.entity.conttype.ContType object at 0x7f0dc934bb50>,1.03467693056986,0.51733846528493,10,56,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
56,"[90.00700027408202, 21.492858840235876]",12,3,"[0.7000274082011013, -0.7141159764122693]","[-0.7141159764122693, -0.7000274082011013]",<Kinematics.entity.conttype.ContType object at 0x7f0dc8da4430>,1.03467693056986,0.51733846528493,11,1,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
2,"[90.01, 21.5]",3,2,"[1.0, 0.0]","[0.0, -1.0]",<Kinematics.entity.conttype.ContType object at 0x7f0dc934bb50>,0.98,0.49,4,8605,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
8605,"[90.01, 21.5]",2,3,"[-1.0, 0.0]","[0.0, 1.0]",<Kinematics.entity.conttype.ContType object at 0x7f0c83b831f0>,0.98,0.49,5,2,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
3,"[90.99, 21.5]",3,2,"[-1.0, 0.0]","[-0.0, -1.0]",<Kinematics.entity.conttype.ContType object at 0x7f0dc934beb0>,0.98,0.49,4,8606,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
8606,"[90.99, 21.5]",2,3,"[-1.0, 0.0]","[0.0, 1.0]",<Kinematics.entity.conttype.ContType object at 0x7f0c83b831f0>,0.98,0.49,5,3,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
4,"[90.9967178374188, 21.49055397391542]",3,184,"[-0.32821625812038646, -0.9446026084578911]","[-0.9446026084578911, 0.32821625812038646]",<Kinematics.entity.conttype.ContType object at 0x7f0dc934beb0>,0.7773317449365963,0.38866587246829815,8,1087,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
1087,"[90.9967178374188, 21.49055397391542]",184,3,"[-0.32821625812038646, -0.9446026084578911]","[0.9446026084578911, -0.32821625812038646]",<Kinematics.entity.conttype.ContType object at 0x7f0dc9034c10>,0.7773317449365963,0.38866587246829815,9,4,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
5,"[90.74158492077751, 20.756284380011188]",3,184,"[0.32821625812038646, 0.9446026084578911]","[-0.9446026084578911, 0.32821625812038646]",<Kinematics.entity.conttype.ContType object at 0x7f0dc934bc40>,0.7773317449365963,0.38866587246829815,8,1092,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
1092,"[90.74158492077751, 20.756284380011188]",184,3,"[0.32821625812038646, 0.9446026084578911]","[0.9446026084578911, -0.32821625812038646]",<Kinematics.entity.conttype.ContType object at 0x7f0dc9034cd0>,0.7773317449365963,0.38866587246829815,9,5,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
6,"[90.7313024841143, 20.753979513690734]",3,12,"[-0.7000274082011013, 0.7141159764122693]","[0.7141159764122693, 0.7000274082011013]",<Kinematics.entity.conttype.ContType object at 0x7f0dc934bc40>,1.03467693056986,0.51733846528493,10,57,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
57,"[90.7313024841143, 20.753979513690734]",12,3,"[-0.7000274082011013, 0.7141159764122693]","[-0.7141159764122693, -0.7000274082011013]",<Kinematics.entity.conttype.ContType object at 0x7f0dc8da40d0>,1.03467693056986,0.51733846528493,11,6,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
7,"[30.007000274082014, 21.49285884023588]",4,17,"[0.7000274082012248, -0.7141159764121483]","[0.7141159764121483, 0.7000274082012248]",<Kinematics.entity.conttype.ContType object at 0x7f0dc934bca0>,1.0346769305697552,0.5173384652848776,22,86,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
86,"[30.007000274082014, 21.49285884023588]",17,4,"[0.7000274082012248, -0.7141159764121483]","[-0.7141159764121483, -0.7000274082012248]",<Kinematics.entity.conttype.ContType object at 0x7f0dc8da4d90>,1.0346769305697552,0.5173384652848776,23,7,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
8,"[30.01, 21.5]",4,2,"[1.0, 0.0]","[0.0, -1.0]",<Kinematics.entity.conttype.ContType object at 0x7f0dc934bca0>,0.98,0.49,16,8389,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
8389,"[30.01, 21.5]",2,4,"[-1.0, 0.0]","[0.0, 1.0]",<Kinematics.entity.conttype.ContType object at 0x7f0c83b831f0>,0.98,0.49,17,8,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
9,"[30.99, 21.5]",4,2,"[-1.0, 0.0]","[-0.0, -1.0]",<Kinematics.entity.conttype.ContType object at 0x7f0dc934bb80>,0.98,0.49,16,8390,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
8390,"[30.99, 21.5]",2,4,"[-1.0, 0.0]","[0.0, 1.0]",<Kinematics.entity.conttype.ContType object at 0x7f0c83b831f0>,0.98,0.49,17,9,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
10,"[30.996717837418796, 21.49055397391542]",4,187,"[-0.32821625812040156, -0.9446026084578858]","[-0.9446026084578858, 0.32821625812040156]",<Kinematics.entity.conttype.ContType object at 0x7f0dc934bb80>,0.7773317449363863,0.3886658724681932,20,1105,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
1105,"[30.996717837418796, 21.49055397391542]",187,4,"[-0.32821625812040156, -0.9446026084578858]","[0.9446026084578858, -0.32821625812040156]",<Kinematics.entity.conttype.ContType object at 0x7f0dc90481f0>,0.7773317449363863,0.3886658724681932,21,10,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
11,"[30.741584920777573, 20.75628438001139]",4,187,"[0.32821625812040156, 0.9446026084578858]","[-0.9446026084578858, 0.32821625812040156]",<Kinematics.entity.conttype.ContType object at 0x7f0dc9372130>,0.7773317449363863,0.3886658724681932,20,1110,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
1110,"[30.741584920777573, 20.75628438001139]",187,4,"[0.32821625812040156, 0.9446026084578858]","[0.9446026084578858, -0.32821625812040156]",<Kinematics.entity.conttype.ContType object at 0x7f0dc90482b0>,0.7773317449363863,0.3886658724681932,21,11,0,0,0.7,-1,-1,-1,False,False,False,False,False,"[0, 0]","[0, 0]"
