id,x,y,nx,ny,t1x,t1y,candidate_id,antagonist_id,section_height,lever,face_id,counter_point,contact_type,mu,fc,ft,cohesion
1,90.0070003,21.4928588,0.7141160,0.7000274,0.7000274,-0.7141160,3,12,1.0346769,0.5173385,10,56,friction,0.7000000,0,0,0
56,90.0070003,21.4928588,-0.7141160,-0.7000274,0.7000274,-0.7141160,12,3,1.0346769,0.5173385,11,1,friction,0.7000000,0,0,0
2,90.0100000,21.5000000,0.0000000,-1.0000000,1.0000000,0.0000000,3,2,0.9800000,0.4900000,4,8605,friction,0.7000000,0,0,0
8605,90.0100000,21.5000000,0.0000000,1.0000000,-1.0000000,0.0000000,2,3,0.9800000,0.4900000,5,2,friction,0.7000000,0,0,0
3,90.9900000,21.5000000,-0.0000000,-1.0000000,-1.0000000,0.0000000,3,2,0.9800000,0.4900000,4,8606,friction,0.7000000,0,0,0
8606,90.9900000,21.5000000,0.0000000,1.0000000,-1.0000000,0.0000000,2,3,0.9800000,0.4900000,5,3,friction,0.7000000,0,0,0
4,90.9967178,21.4905540,-0.9446026,0.3282163,-0.3282163,-0.9446026,3,184,0.7773317,0.3886659,8,1087,friction,0.7000000,0,0,0
1087,90.9967178,21.4905540,0.9446026,-0.3282163,-0.3282163,-0.9446026,184,3,0.7773317,0.3886659,9,4,friction,0.7000000,0,0,0
5,90.7415849,20.7562844,-0.9446026,0.3282163,0.3282163,0.9446026,3,184,0.7773317,0.3886659,8,1092,friction,0.7000000,0,0,0
1092,90.7415849,20.7562844,0.9446026,-0.3282163,0.3282163,0.9446026,184,3,0.7773317,0.3886659,9,5,friction,0.7000000,0,0,0
6,90.7313025,20.7539795,0.7141160,0.7000274,-0.7000274,0.7141160,3,12,1.0346769,0.5173385,10,57,friction,0.7000000,0,0,0
57,90.7313025,20.7539795,-0.7141160,-0.7000274,-0.7000274,0.7141160,12,3,1.0346769,0.5173385,11,6,friction,0.7000000,0,0,0
7,30.0070003,21.4928588,0.7141160,0.7000274,0.7000274,-0.7141160,4,17,1.0346769,0.5173385,22,86,friction,0.7000000,0,0,0
86,30.0070003,21.4928588,-0.7141160,-0.7000274,0.7000274,-0.7141160,17,4,1.0346769,0.5173385,23,7,friction,0.7000000,0,0,0
8,30.0100000,21.5000000,0.0000000,-1.0000000,1.0000000,0.0000000,4,2,0.9800000,0.4900000,16,8389,friction,0.7000000,0,0,0
8389,30.0100000,21.5000000,0.0000000,1.0000000,-1.0000000,0.0000000,2,4,0.9800000,0.4900000,17,8,friction,0.7000000,0,0,0
9,30.9900000,21.5000000,-0.0000000,-1.0000000,-1.0000000,0.0000000,4,2,0.9800000,0.4900000,16,8390,friction,0.7000000,0,0,0
8390,30.9900000,21.5000000,0.0000000,1.0000000,-1.0000000,0.0000000,2,4,0.9800000,0.4900000,17,9,friction,0.7000000,0,0,0
