id,center,mass,dl,ll,type,displacement,shape_file,contps
1,"[0.05183512240327057, 0.018951275133293224]",0.0002436,"[0, 0.7504000000000001, 0]","[10000.0, 0, 0]",beam,"[0.0001, 3.2646230243622506e-05, -0.001472906465831697]",element_1.json,[]
2,"[0.049538835, 0.0301553398]",0.00028840000000000007,"[0, 0.007355930400000002, 0]","[0, 0, 0]",ground,"[0.0, 0.0, 0.0]",element_2.json,[]
3,"[0.09064979990123341, 0.021247593595115508]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[8.282275064420745e-07, 1.416444866709397e-06, -0.0032744906018349544]",element_3.json,[]
4,"[0.030579142049579396, 0.02124869187797616]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[-2.4782093083439256e-07, 4.04142149057143e-07, 0.0009851084795171636]",element_4.json,[]
5,"[0.01057969181891998, 0.021243276811627316]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[1.836803519334892e-08, -9.545541401266837e-07, -7.11333489129772e-05]",element_5.json,[]
6,"[0.02057967142881136, 0.02124478334640847]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[2.267664530111735e-09, -3.6403461911582724e-09, -8.88525299558296e-06]",element_6.json,[]
7,"[0.05057932205430923, 0.021248893811726784]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[-2.422040613145298e-08, 5.3156907933752145e-08, -3.772973656496399e-05]",element_7.json,[]
8,"[0.04057803571410794, 0.021249465790047897]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[2.2645817231209224e-07, -1.6920049095755233e-07, -0.0009039011971873423]",element_8.json,[]
9,"[0.05973666183571553, 0.021244628738128747]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[3.6430282390658596e-08, 4.317351105606111e-06, -0.00014507498398366644]",element_9.json,[]
10,"[0.08066916078466373, 0.021246666931904495]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[0.0, 8.502558481206236e-07, -5.421010862427522e-20]",element_10.json,[]
