id,coor,cand,anta,tangent1,normal,cont_type,section_h,lever,faceID,counterPoint,normal_force,tangent_force,mu,cohesion,ft,fc,crack_state,sliding_failure,strength_failure,opening_failure,crushing_failure,displacement,gap
1,"[0.09001640480100623, 0.021488528059467684]",3,12,"[0.7000274, -0.714116]","[0.714116, 0.7000274]",<Kinematics.entity.conttype.ContType object at 0x7f6d06740df0>,0.0010346769,0.0005173385000000001,10,56,0.005110832567210429,0.0001342820855527305,0.94,0.009777696705000002,37.800000000000004,14000,False,False,False,False,False,"[1.969911199439789e-08, 4.299265922387552e-06]","[0, 0]"
56,"[0.0900186391204526, 0.021490511100355127]",12,3,"[0.7000274, -0.714116]","[-0.714116, -0.7000274]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125700>,0.0010346769,0.0005173385000000001,11,1,0.005110643912975754,-0.0001315798345241853,0.94,0.009777696705000002,37.800000000000004,14000,False,False,False,False,False,"[2.5880235648978456e-07, 4.70050233587066e-06]","[0, 0]"
2,"[0.09001940458183595, 0.021495669225514182]",3,2,"[1.0, 0.0]","[0.0, -1.0]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125940>,0.00098,0.00049,4,8605,-0.004950165248878764,-0.003679994206120999,0.94,0.009261000000000002,14000,14000,False,False,False,False,False,"[1.9662326697367227e-08, 4.2992813746346725e-06]","[0, 4.330774485819533e-06]"
8605,"[0.09001, 0.021500000000000002]",2,3,"[-1.0, 0.0]","[0.0, 1.0]",<Kinematics.entity.conttype.ContType object at 0x7f6d581259a0>,0.00098,0.00049,5,2,-0.0011464706015993386,-0.007046853517717277,0.94,0.009261000000000002,37.800000000000004,14000,False,False,False,False,False,"[0.0, 0.0]","[0, 4.330774485819533e-06]"
3,"[0.09099940458177318, 0.021495658133076703]",3,2,"[-1.0, 0.0]","[-0.0, -1.0]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125a60>,0.00098,0.00049,4,8606,0.003349894278024749,0.011715096289570869,0.94,0.009261000000000002,14000,14000,False,False,False,False,False,"[1.9662370828732456e-08, 4.304329508202087e-06]","[0, 4.341866923298493e-06]"
8606,"[0.09099, 0.021500000000000002]",2,3,"[-1.0, 0.0]","[0.0, 1.0]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125b20>,0.00098,0.00049,5,3,-0.0013378644921273428,-0.006896165850983798,0.94,0.009261000000000002,37.800000000000004,14000,False,False,False,False,False,"[0.0, 0.0]","[0, 4.341866923298493e-06]"
4,"[0.09100612227485524, 0.02148621205703978]",3,184,"[-0.3282163, -0.9446026]","[-0.9446026, 0.3282163]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125be0>,0.0007773316999999999,0.00038866590000000004,8,1087,-0.004382877016093893,0.0032258772108845696,0.94,0.007345784564999999,37.800000000000004,14000,False,False,False,False,False,"[1.971102896181076e-08, 4.304364112216186e-06]","[0, 3.836000270034931e-05]"
1087,"[0.09102868969538853, 0.02143428666945449]",184,3,"[-0.3282163, -0.9446026]","[0.9446026, -0.3282163]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125ca0>,0.0007773316999999999,0.00038866590000000004,9,4,-0.003880128192371847,-0.0036984611834415012,0.94,0.007345784564999999,37.800000000000004,14000,False,False,False,False,False,"[2.6138426659494396e-05, -0.0001215448662154825]","[0, 3.836000270034931e-05]"
5,"[0.09075098106381074, 0.020751945344888594]",3,184,"[0.3282163, 0.9446026]","[-0.9446026, 0.3282163]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125d60>,0.0007773316999999999,0.00038866590000000004,8,1092,-0.006465741341777065,-0.001268036196798725,0.94,0.007345784564999999,37.800000000000004,14000,False,False,False,False,False,"[2.3493355233439317e-08, 4.303049849600782e-06]","[0, 3.997013374039095e-05]"
1092,"[0.09077506995967274, 0.020699493044140534]",184,3,"[0.3282163, 0.9446026]","[0.9446026, -0.3282163]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125e20>,0.0007773316999999999,0.00038866590000000004,9,5,-0.005944073443975003,0.001758404632116492,0.94,0.007345784564999999,37.800000000000004,14000,False,False,False,False,False,"[2.4418626418026834e-05, -0.00012094900957404509]","[0, 3.997013374039095e-05]"
6,"[0.09074069863772265, 0.020749640561273312]",3,12,"[-0.7000274, 0.714116]","[0.714116, 0.7000274]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125ee0>,0.0010346769,0.0005173385000000001,10,57,0.0037932977611596372,-0.00013101207771246763,0.94,0.009777696705000002,37.800000000000004,14000,False,False,False,False,False,"[2.3505227680908902e-08, 4.302996883240318e-06]","[0, 0]"
57,"[0.0907449945093011, 0.02075365009176254]",12,3,"[-0.7000274, 0.714116]","[-0.714116, -0.7000274]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125fa0>,0.0010346769,0.0005173385000000001,11,6,0.0037931137916983678,0.00011684948887205153,0.94,0.009777696705000002,37.800000000000004,14000,False,False,False,False,False,"[1.7874627124270237e-07, 4.621596204762435e-06]","[0, 0]"
7,"[0.030007036342613622, 0.02148854292837024]",4,17,"[0.7000274, -0.714116]","[0.714116, 0.7000274]",<Kinematics.entity.conttype.ContType object at 0x7f6d57e2b0a0>,0.0010346769,0.0005173385000000001,22,86,-0.009774959911378072,-0.0001174278284027522,0.94,0.009777696705000002,37.800000000000004,14000,False,False,False,False,False,"[-9.419214204269e-07, -2.3214832084034187e-06]","[0, 1.7039210269213511e-06]"
